sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.702
sample00000,93214,cd4_t_cell,20491,21.983
sample00000,93214,cd8_t_cell,24440,26.219
sample00000,93214,monocyte,23511,25.223
sample00000,93214,nk_cell,13864,14.873
sample00001,100824,b_cell,6777,6.722
sample00001,100824,cd4_t_cell,33459,33.186
sample00001,100824,cd8_t_cell,19407,19.248
sample00001,100824,monocyte,23011,22.823
sample00001,100824,nk_cell,18170,18.022
sample00002,92822,b_cell,9794,10.551
sample00002,92822,cd4_t_cell,24274,26.151
sample00002,92822,cd8_t_cell,22940,24.714
sample00002,92822,monocyte,18332,19.75
sample00002,92822,nk_cell,17482,18.834
sample00003,93160,b_cell,10081,10.821
sample00003,93160,cd4_t_cell,36157,38.812
sample00003,93160,cd8_t_cell,20271,21.759
sample00003,93160,monocyte,12610,13.536
sample00003,93160,nk_cell,14041,15.072
sample00004,107903,b_cell,4372,4.052
sample00004,107903,cd4_t_cell,38293,35.488
sample00004,107903,cd8_t_cell,33778,31.304
sample00004,107903,monocyte,14933,13.839
sample00004,107903,nk_cell,16527,15.317
sample00005,105359,b_cell,15431,14.646
sample00005,105359,cd4_t_cell,30805,29.238
sample00005,105359,cd8_t_cell,31940,30.315
sample00005,105359,monocyte,15779,14.976
sample00005,105359,nk_cell,11404,10.824
sample00006,99774,b_cell,5897,5.91
sample00006,99774,cd4_t_cell,28319,28.383
sample00006,99774,cd8_t_cell,31296,31.367
sample00006,99774,monocyte,21606,21.655
sample00006,99774,nk_cell,12656,12.685
sample00007,98424,b_cell,10403,10.57
sample00007,98424,cd4_t_cell,33870,34.412
sample00007,98424,cd8_t_cell,13504,13.72
sample00007,98424,monocyte,18031,18.32
sample00007,98424,nk_cell,22616,22.978
sample00008,90353,b_cell,8829,9.772
sample00008,90353,cd4_t_cell,21307,23.582
sample00008,90353,cd8_t_cell,26215,29.014
sample00008,90353,monocyte,16378,18.127
sample00008,90353,nk_cell,17624,19.506
sample00009,95821,b_cell,7650,7.984
sample00009,95821,cd4_t_cell,21097,22.017
sample00009,95821,cd8_t_cell,33334,34.788
sample00009,95821,monocyte,15676,16.36
sample00009,95821,nk_cell,18064,18.852
sample00010,107537,b_cell,13203,12.278
sample00010,107537,cd4_t_cell,27873,25.919
sample00010,107537,cd8_t_cell,21339,19.843
sample00010,107537,monocyte,31913,29.676
sample00010,107537,nk_cell,13209,12.283
sample00011,89815,b_cell,10621,11.825
sample00011,89815,cd4_t_cell,29391,32.724
sample00011,89815,cd8_t_cell,19786,22.03
sample00011,89815,monocyte,16497,18.368
sample00011,89815,nk_cell,13520,15.053
sample00012,109579,b_cell,14128,12.893
sample00012,109579,cd4_t_cell,40320,36.795
sample00012,109579,cd8_t_cell,21720,19.821
sample00012,109579,monocyte,18802,17.158
sample00012,109579,nk_cell,14609,13.332
sample00013,109488,b_cell,10681,9.755
sample00013,109488,cd4_t_cell,31697,28.95
sample00013,109488,cd8_t_cell,19994,18.261
sample00013,109488,monocyte,22073,20.16
sample00013,109488,nk_cell,25043,22.873
sample00014,92904,b_cell,6113,6.58
sample00014,92904,cd4_t_cell,27223,29.302
sample00014,92904,cd8_t_cell,25851,27.825
sample00014,92904,monocyte,24463,26.331
sample00014,92904,nk_cell,9254,9.961
sample00015,102691,b_cell,8261,8.045
sample00015,102691,cd4_t_cell,36217,35.268
sample00015,102691,cd8_t_cell,21523,20.959
sample00015,102691,monocyte,20937,20.388
